film_title,tmdb_id,person_name,character_name,billing_order
Avengers: Age of Ultron,99861,Robert Downey Jr.,Tony Stark / Iron Man,0
Avengers: Age of Ultron,99861,Chris Hemsworth,Thor,1
Avengers: Age of Ultron,99861,Mark Ruffalo,Bruce Banner / Hulk,2
Avengers: Age of Ultron,99861,Chris Evans,Steve Rogers / Captain America,3
Avengers: Age of Ultron,99861,Scarlett Johansson,Natasha Romanoff / Black Widow,4
Avengers: Age of Ultron,99861,Jeremy Renner,Clint Barton / Hawkeye,5
Avengers: Age of Ultron,99861,James Spader,Ultron (voice),6
Avengers: Age of Ultron,99861,Samuel L. Jackson,Nick Fury,7
Avengers: Age of Ultron,99861,Don Cheadle,James Rhodes / War Machine,8
Avengers: Age of Ultron,99861,Aaron Taylor-Johnson,Pietro Maximoff / Quicksilver,9
Ant-Man,102899,Paul Rudd,Scott Lang / Ant-Man,0
Ant-Man,102899,Michael Douglas,Dr. Hank Pym,1
Ant-Man,102899,Evangeline Lilly,Hope van Dyne,2
Ant-Man,102899,Corey Stoll,Darren Cross / Yellowjacket,3
Ant-Man,102899,Bobby Cannavale,Paxton,4
Ant-Man,102899,Anthony Mackie,Sam Wilson / Falcon,5
Ant-Man,102899,Judy Greer,Maggie Lang,6
Ant-Man,102899,Abby Ryder Fortson,Cassie Lang,7
Ant-Man,102899,Michael Peña,Luis,8
Ant-Man,102899,David Dastmalchian,Kurt,9
Captain America: Civil War,271110,Chris Evans,Steve Rogers / Captain America,0
Captain America: Civil War,271110,Robert Downey Jr.,Tony Stark / Iron Man,1
Captain America: Civil War,271110,Scarlett Johansson,Natasha Romanoff / Black Widow,2
Captain America: Civil War,271110,Sebastian Stan,Bucky Barnes / Winter Soldier,3
Captain America: Civil War,271110,Anthony Mackie,Sam Wilson / Falcon,4
Captain America: Civil War,271110,Don Cheadle,Lieutenant James Rhodes / War Machine,5
Captain America: Civil War,271110,Jeremy Renner,Clint Barton / Hawkeye,6
Captain America: Civil War,271110,Chadwick Boseman,T'Challa / Black Panther,7
Captain America: Civil War,271110,Paul Bettany,Vision,8
Captain America: Civil War,271110,Elizabeth Olsen,Wanda Maximoff / Scarlet Witch,9
Doctor Strange,284052,Benedict Cumberbatch,Dr. Stephen Strange,0
Doctor Strange,284052,Chiwetel Ejiofor,Mordo,1
Doctor Strange,284052,Rachel McAdams,Dr. Christine Palmer,2
Doctor Strange,284052,Benedict Wong,Wong,3
Doctor Strange,284052,Mads Mikkelsen,Kaecilius,4
Doctor Strange,284052,Tilda Swinton,The Ancient One,5
Doctor Strange,284052,Michael Stuhlbarg,Dr. Nicodemus West,6
Doctor Strange,284052,Benjamin Bratt,Jonathan Pangborn,7
